vin,timestamp,end_time,odo,end_odo,soc,end_soc,duration,avg_speed,event_id,event_emb_0,event_emb_1,charge_mode_emb_0,charge_mode_emb_1
2.0,4155.3,4165.533333333334,17595.76563,17595.76563,43.5,56.0,614.0,0.0,1221,-0.29202011227607727,-1.3963449001312256,2.047060489654541,-1.6740423440933228
2.0,4165.533333333334,4168.1,17595.76563,17707.375,56.0,36.8,154.0,43.48417012986947,1222,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4168.116666666667,4168.633333333333,17707.375,17707.375,36.8,68.2,31.0,0.0,1223,-0.29202011227607727,-1.3963449001312256,2.047060489654541,-1.6740423440933228
2.0,4168.633333333333,4169.483333333334,17707.375,17741.03125,68.2,62.7,51.0,39.595588235294116,1224,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4169.55,4172.95,17741.03125,17869.5,61.9,39.2,204.0,37.78492647058824,1225,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4172.966666666666,4173.483333333334,17869.5,17869.5,39.2,69.0,31.0,0.0,1226,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
2.0,4173.483333333334,4173.55,17869.5,17870.875,69.0,69.0,4.0,20.625,1227,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4173.566666666667,4173.733333333334,17870.875,17870.875,69.0,69.8,10.0,0.0,1228,-0.29202011227607727,-1.3963449001312256,1.5275136232376099,-0.6723349690437317
2.0,4173.733333333334,4176.666666666667,17870.875,17958.89063,69.8,54.5,176.0,30.00532840909149,1229,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4176.7,4176.816666666667,17958.89063,17961.15625,54.5,53.3,7.0,19.41959999998549,1230,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4177.483333333334,4178.316666666667,17961.15625,17986.01563,53.3,49.0,50.0,29.83125600000203,1231,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4179.383333333333,4179.416666666667,18024.89063,18025.42188,41.1,41.1,2.0,15.9375,1232,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4179.416666666667,4189.5,18025.42188,18025.42188,41.1,53.7,605.0,0.0,1233,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4189.5,4192.183333333333,18025.42188,18133.8125,53.7,34.1,161.0,40.39401987577577,1234,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4192.183333333333,4197.516666666666,18133.8125,18133.8125,34.1,40.3,320.0,0.0,1235,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4197.516666666666,4200.516666666666,18133.8125,18225.5,40.3,23.5,180.0,30.5625,1236,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4200.666666666667,4200.683333333333,18225.5,18225.64063,23.5,23.5,1.0,8.43780000010156,1237,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4200.683333333333,4200.716666666666,18225.64063,18225.82813,23.5,23.5,2.0,5.625,1238,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4200.733333333334,4201.266666666666,18225.82813,18225.82813,23.5,52.1,32.0,0.0,1239,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
2.0,4201.266666666666,4203.766666666666,18225.82813,18335.3125,52.1,30.5,150.0,43.793747999999326,1240,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4203.8,4204.316666666667,18335.3125,18335.3125,30.5,61.9,31.0,0.0,1241,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
2.0,4204.316666666667,4204.8,18335.3125,18351.76563,61.9,58.8,29.0,34.040958620693154,1242,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4204.883333333333,4204.983333333334,18351.76563,18354.35938,58.8,58.0,6.0,25.9375,1243,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4204.983333333334,4215.533333333334,18354.35938,18354.35938,58.0,70.1,633.0,0.0,1244,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4215.533333333334,4217.083333333333,18354.35938,18468.375,70.1,46.6,93.0,73.55846451612794,1245,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4217.15,4217.25,18468.375,18470.90625,45.8,45.8,6.0,25.3125,1246,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4217.316666666667,4218.316666666667,18470.90625,18522.03125,45.8,34.1,60.0,51.125,1247,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4218.45,4218.533333333334,18522.03125,18523.34375,34.1,34.1,5.0,15.75,1248,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4218.733333333334,4219.65,18523.34375,18598.59375,33.3,17.2,55.0,82.0909090909091,1249,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4219.683333333333,4220.2,18598.59375,18598.59375,17.2,42.7,31.0,0.0,1250,-0.29202011227607727,-1.3963449001312256,2.047060489654541,-1.6740423440933228
2.0,4220.2,4221.233333333334,18598.59375,18643.76563,42.7,31.7,62.0,43.71472258064679,1251,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4221.716666666666,4222.2,18643.76563,18657.25,31.3,28.6,29.0,27.898696551720636,1252,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4222.65,4222.933333333333,18657.25,18665.09375,28.6,26.2,17.0,27.683823529411764,1253,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4223.616666666667,4223.85,18665.09375,18670.34375,25.8,24.3,14.0,22.5,1254,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4223.866666666667,4429.533333333334,18670.34375,18670.34375,24.3,100.0,12340.0,0.0,1255,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4429.533333333334,4431.65,18670.34375,18767.375,100.0,80.3,127.0,45.84153543307087,1256,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4431.683333333333,4431.866666666667,18767.375,18774.71875,80.3,78.8,11.0,40.05681818181819,1257,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4437.766666666666,4439.05,18774.71875,18825.9375,78.0,67.8,77.0,39.910714285714285,1258,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4440.05,4453.5,18858.8125,18858.8125,60.7,76.4,807.0,0.0,1259,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4453.5,4455.916666666667,18858.8125,18970.8125,76.4,57.2,145.0,46.3448275862069,1260,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4455.933333333333,4456.033333333334,18970.8125,18973.39063,57.2,56.8,6.0,25.781300000016927,1261,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4462.233333333334,4465.116666666667,19115.73438,19211.4375,30.5,11.7,173.0,33.191833526010974,1262,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4465.15,4465.666666666667,19211.4375,19211.4375,11.7,41.1,31.0,0.0,1263,-0.29202011227607727,-1.3963449001312256,2.047060489654541,-1.6740423440933228
2.0,4465.666666666667,4467.883333333333,19211.4375,19310.95313,41.1,22.7,133.0,44.89426917293309,1264,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4467.9,4468.4,19310.95313,19310.95313,22.7,53.3,30.0,0.0,1265,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
2.0,4468.4,4468.816666666667,19310.95313,19331.23438,53.3,49.4,25.0,48.675,1266,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4468.816666666667,4480.266666666666,19331.23438,19331.23438,49.4,63.5,687.0,0.0,1267,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4480.266666666666,4480.533333333334,19331.23438,19339.3125,63.5,61.9,16.0,30.292949999993652,1268,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
